customer_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,churn,usage_minutes,failed_call_rate,sms_share,value_per_usage_minute,value_per_frequency,calls_per_distinct_number,engagement_score,usage_intensity,customer_value_tier,segment,segment_description,suggested_strategy
CUST_0001,8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,72.83333333333333,0.1111111111111111,0.06493506493506493,2.6768397291196386,2.7449999999999997,3.9444444444444446,29.539639823149326,26.93408598079372,Medium,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0002,0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,5.3,0.0,0.5384615384615384,7.307142857142857,7.672499999999999,1.0,13.785422198225433,1.9207654975389805,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0003,10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,40.88333333333333,0.16393442622950818,0.8547619047619047,36.68571428571428,25.188852459016392,2.4,37.88701939691214,19.859016280590644,High,High-Value Loyal Customers,Valuable customers with comparatively healthy retention signals.,Maintain loyalty benefits and proactive relationship management.
CUST_0004,10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,69.96666666666667,0.14925373134328357,0.014705882352941176,3.3821512447158293,3.5823880597014925,1.8333333333333333,28.398177654590427,25.35504078752625,Medium,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0005,3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,39.88333333333333,0.05084745762711865,0.03278688524590164,3.5663677130044844,2.4712711864406782,1.7058823529411764,24.169933013042872,19.247995043541117,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0006,11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,62.916666666666664,0.13253012048192772,0.2782608695652174,4.416375488917861,3.4009638554216863,2.8275862068965516,31.039456052782764,28.12969400750353,Medium,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0007,4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,39.333333333333336,0.1,0.8769230769230769,30.643636363636364,30.899,2.0526315789473686,32.347073139958496,14.70016865728152,High,High-Value Loyal Customers,Valuable customers with comparatively healthy retention signals.,Maintain loyalty benefits and proactive relationship management.
CUST_0008,13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,151.91666666666666,0.10655737704918032,0.5413533834586466,6.182713896457766,7.749508196721312,2.75,49.716578744981646,49.80470175197054,High,Stable Low-Risk Customers,Customers with solid value and manageable risk signals.,Maintain regular engagement and monitor for risk changes.
CUST_0009,7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,229.55,0.041176470588235294,0.0,2.4189112990674473,3.280470588235294,3.7555555555555555,59.30519327790693,72.00110143530789,High,Stable Low-Risk Customers,Customers with solid value and manageable risk signals.,Maintain regular engagement and monitor for risk changes.
CUST_0010,7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,75.25,0.08333333333333333,0.023255813953488372,2.516983606557377,2.2847619047619045,3.1923076923076925,31.326290933624794,30.096995146800676,Medium,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0011,6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,98.63333333333334,0.0625,0.06796116504854369,2.6950819672131145,2.797083333333333,7.3076923076923075,35.62776440666581,36.20431624961278,Medium,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0012,9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,37.3,0.16363636363636364,0.12698412698412698,3.2292428198433423,2.248727272727273,3.0,23.578709521769884,17.94403331841806,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0013,25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,252.33333333333334,0.11061946902654868,0.19285714285714287,3.2786842105263156,3.6752212389380534,6.818181818181818,71.46008222244785,88.37710391353734,High,Stable Low-Risk Customers,Customers with solid value and manageable risk signals.,Maintain regular engagement and monitor for risk changes.
CUST_0014,4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,51.583333333333336,0.14285714285714285,0.9452054794520548,39.116576862123615,73.46000000000001,3.0,39.57644941660867,13.596943517020618,High,High-Value Loyal Customers,Valuable customers with comparatively healthy retention signals.,Maintain loyalty benefits and proactive relationship management.
CUST_0015,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,258.0833333333333,0.04918032786885246,0.45045045045045046,5.326529430685109,7.541065573770492,5.870967741935484,69.50099058683547,79.06694661480742,High,Stable Low-Risk Customers,Customers with solid value and manageable risk signals.,Maintain regular engagement and monitor for risk changes.
CUST_0016,3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,108.33333333333333,0.034482758620689655,0.6813186813186813,9.21439024390244,11.57977011494253,3.185185185185185,41.931448833773004,35.44886930781676,High,High-Value Loyal Customers,Valuable customers with comparatively healthy retention signals.,Maintain loyalty benefits and proactive relationship management.
CUST_0017,0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,14.583333333333334,0.0,0.0,2.5671657754010697,2.6670000000000003,1.1666666666666667,15.048463675059894,5.3420989226585895,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0018,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,11.833333333333334,0.13333333333333333,0.4642857142857143,6.308571428571428,5.397333333333333,1.5555555555555556,15.597813991036185,4.955908167831205,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0019,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11.59090909090909,0.0,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0020,3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,125.13333333333334,0.0234375,0.75,16.423691860465112,16.1841796875,2.8863636363636362,56.91456253283509,47.455202560837094,High,High-Value Loyal Customers,Valuable customers with comparatively healthy retention signals.,Maintain loyalty benefits and proactive relationship management.
CUST_0021,7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,191.08333333333334,0.04516129032258064,0.06626506024096386,1.6554013015184381,2.051451612903226,3.2083333333333335,53.275424495639754,63.06970020307714,Medium,Stable Low-Risk Customers,Customers with solid value and manageable risk signals.,Maintain regular engagement and monitor for risk changes.
CUST_0022,8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,111.96666666666667,0.10526315789473684,0.5869565217391305,7.008129241664207,10.416907894736841,1.9736842105263157,37.81581909486144,33.3708739200771,High,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
CUST_0023,23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,15.916666666666666,0.4791666666666667,0.25,6.921576354679804,2.439375,2.611111111111111,0.0,13.294048807352082,Low,Price-Sensitive / Low-Value Users,Lower-value customers suited for efficient lifecycle campaigns.,Use low-cost automated offers and monitor response.
CUST_0024,21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,173.91666666666666,0.22340425531914893,0.010526315789473684,0.9114054311576941,1.6959574468085106,2.1627906976744184,17.37074972506977,46.305992496471966,Medium,Price-Sensitive / Low-Value Users,Lower-value customers suited for efficient lifecycle campaigns.,Use low-cost automated offers and monitor response.
CUST_0025,13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,96.96666666666667,0.13131313131313133,0.208,3.911738686628105,3.870909090909091,3.92,10.91013902719472,36.67614359962827,Medium,Price-Sensitive / Low-Value Users,Lower-value customers suited for efficient lifecycle campaigns.,Use low-cost automated offers and monitor response.
CUST_0026,1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,47.333333333333336,0.043478260869565216,0.0,2.368551724137931,4.977391304347826,1.4666666666666666,18.57316122363622,11.823632671324821,Low,Low Engagement Customers,Customers with limited usage and weaker day-to-day engagement.,Use re-engagement offers and education campaigns.
